Name,Value,Timestamp,Step
"mpl-val/ema-loss",2.302262,1620719872999,20
"mpl-val/ema-acc",0.105,1620719873000,20
"mpl-val/student-loss",2.3022034,1620719873000,20
"mpl-val/student-acc",0.1059,1620719873001,20
"mpl-lr/student",1e-09,1620720073952,250
"mpl-lr/teacher",0.0025,1620720073954,250
"mpl-uda/weight",0.8,1620720260111,500
"mpl-uda/u-ratio",0.31957272,1620720260118,500
"mpl-uda/l-ratio",0.18716672,1620720260125,500
"mpl/dot-product",0.8214025,1620720260131,500
"mpl/moving-dot-product",-0.86299723,1620720260137,500
"mpl-cross-entropy/teacher-on-l",1.7254086,1620720260143,500
"mpl-cross-entropy/teacher-on-u",0.60127085,1620720260150,500
"mpl-cross-entropy/student-on-u",2.4663522,1620720260156,500
"mpl-cross-entropy/student-on-l",2.3801196,1620720260162,500
"mpl-lr/student",0.0,1620720260164,500
"mpl-lr/teacher",0.005,1620720260165,500
"mpl-uda/weight",1.2,1620720446317,750
"mpl-uda/u-ratio",0.65246445,1620720446324,750
"mpl-uda/l-ratio",0.059666656,1620720446329,750
"mpl/dot-product",0.8105678,1620720446335,750
"mpl/moving-dot-product",-0.8631068,1620720446342,750
"mpl-cross-entropy/teacher-on-l",1.2434255,1620720446349,750
"mpl-cross-entropy/teacher-on-u",1.0891484,1620720446355,750
"mpl-cross-entropy/student-on-u",2.2898142,1620720446361,750
"mpl-cross-entropy/student-on-l",2.0141811,1620720446367,750
"mpl-lr/student",0.0025,1620720446369,750
"mpl-lr/teacher",0.0075,1620720446370,750
"mpl-uda/weight",1.6,1620720632697,1000
"mpl-uda/u-ratio",0.74324715,1620720632703,1000
"mpl-uda/l-ratio",0.030916668,1620720632709,1000
"mpl/dot-product",0.82317024,1620720632714,1000
"mpl/moving-dot-product",-0.8629795,1620720632720,1000
"mpl-cross-entropy/teacher-on-l",1.0734769,1620720632725,1000
"mpl-cross-entropy/teacher-on-u",1.1255906,1620720632730,1000
"mpl-cross-entropy/student-on-u",2.134272,1620720632736,1000
"mpl-cross-entropy/student-on-l",1.6078198,1620720632741,1000
"mpl-lr/student",0.005,1620720632742,1000
"mpl-lr/teacher",0.01,1620720632744,1000
"mpl-val/ema-loss",2.1540098,1620720649620,1020
"mpl-val/ema-acc",0.4632,1620720649620,1020
"mpl-val/student-loss",2.1156013,1620720649621,1020
"mpl-val/student-acc",0.4815,1620720649622,1020
"mpl-uda/weight",2.0,1620720851259,1250
"mpl-uda/u-ratio",0.79450595,1620720851266,1250
"mpl-uda/l-ratio",0.016166667,1620720851272,1250
"mpl/dot-product",0.8347498,1620720851277,1250
"mpl/moving-dot-product",-0.86286217,1620720851283,1250
"mpl-cross-entropy/teacher-on-l",0.9683317,1620720851288,1250
"mpl-cross-entropy/teacher-on-u",1.0985066,1620720851293,1250
"mpl-cross-entropy/student-on-u",2.0299304,1620720851299,1250
"mpl-cross-entropy/student-on-l",1.3536004,1620720851304,1250
"mpl-lr/student",0.0075,1620720851306,1250
"mpl-lr/teacher",0.0125,1620720851307,1250
"mpl-uda/weight",2.4,1620721038675,1500
"mpl-uda/u-ratio",0.8236485,1620721038683,1500
"mpl-uda/l-ratio",0.010812502,1620721038688,1500
"mpl/dot-product",0.8526886,1620721038693,1500
"mpl/moving-dot-product",-0.8626813,1620721038699,1500
"mpl-cross-entropy/teacher-on-l",0.91501707,1620721038704,1500
"mpl-cross-entropy/teacher-on-u",1.0567417,1620721038709,1500
"mpl-cross-entropy/student-on-u",1.9363363,1620721038714,1500
"mpl-cross-entropy/student-on-l",1.147129,1620721038720,1500
"mpl-lr/student",0.01,1620721038721,1500
"mpl-lr/teacher",0.015,1620721038723,1500
"mpl-uda/weight",2.8,1620721226101,1750
"mpl-uda/u-ratio",0.8441727,1620721226108,1750
"mpl-uda/l-ratio",0.007937502,1620721226114,1750
"mpl/dot-product",0.8648089,1620721226120,1750
"mpl/moving-dot-product",-0.86255884,1620721226126,1750
"mpl-cross-entropy/teacher-on-l",0.8849353,1620721226132,1750
"mpl-cross-entropy/teacher-on-u",1.0214598,1620721226139,1750
"mpl-cross-entropy/student-on-u",1.8566056,1620721226145,1750
"mpl-cross-entropy/student-on-l",1.0084064,1620721226151,1750
"mpl-lr/student",0.0125,1620721226152,1750
"mpl-lr/teacher",0.0175,1620721226154,1750
"mpl-uda/weight",3.2,1620721413998,2000
"mpl-uda/u-ratio",0.85954183,1620721414006,2000
"mpl-uda/l-ratio",0.0067916666,1620721414011,2000
"mpl/dot-product",0.8708596,1620721414016,2000
"mpl/moving-dot-product",-0.86249775,1620721414021,2000
"mpl-cross-entropy/teacher-on-l",0.86658627,1620721414026,2000
